"timepoint"	"id"	"channel"	"np"	"peakArea"
"320"	10	"pep32338181_rep5"	1	0	NA
"321"	10	"pep32338181_rep1"	2	0	NA
"322"	10	"pep32338181_rep2"	2	0	NA
"323"	10	"pep32338181_rep3"	2	0	NA
"324"	10	"pep32338181_rep4"	2	0	NA
"325"	10	"pep32338181_rep5"	2	0	NA
"326"	10	"pep32338181_rep1"	3	0	NA
"327"	10	"pep32338181_rep2"	3	0	NA
"328"	10	"pep32338181_rep3"	3	0	NA
"329"	10	"pep32338181_rep4"	3	0	NA
"330"	10	"pep32338181_rep5"	3	0	NA
"331"	11	"pep32338181_rep1"	1	0	NA
"332"	11	"pep32338181_rep2"	1	0	NA
"333"	11	"pep32338181_rep3"	1	0	NA
"334"	11	"pep32338181_rep4"	1	0	NA
"335"	11	"pep32338181_rep5"	1	0	NA
"336"	11	"pep32338181_rep1"	2	0	NA
"337"	11	"pep32338181_rep2"	2	0	NA
"338"	11	"pep32338181_rep3"	2	0	NA
"339"	11	"pep32338181_rep4"	2	0	NA
"340"	11	"pep32338181_rep5"	2	0	NA
"341"	11	"pep32338181_rep1"	3	0	NA
"342"	11	"pep32338181_rep2"	3	0	NA
"343"	11	"pep32338181_rep3"	3	0	NA
"344"	11	"pep32338181_rep4"	3	0	NA
"345"	11	"pep32338181_rep5"	3	0	NA
"346"	12	"pep32338181_rep1"	1	0	NA
"347"	12	"pep32338181_rep2"	1	0	NA
"348"	12	"pep32338181_rep3"	1	0	NA
"349"	12	"pep32338181_rep4"	1	0	NA
"350"	12	"pep32338181_rep5"	1	0	NA
"351"	12	"pep32338181_rep1"	2	0	NA
"352"	12	"pep32338181_rep2"	2	0	NA
"353"	12	"pep32338181_rep3"	2	0	NA
"354"	12	"pep32338181_rep4"	2	0	NA
"355"	12	"pep32338181_rep5"	2	0	NA
"356"	12	"pep32338181_rep1"	3	0	NA
"357"	12	"pep32338181_rep2"	3	0	NA
"358"	12	"pep32338181_rep3"	3	0	NA
"359"	12	"pep32338181_rep4"	3	0	NA
"360"	12	"pep32338181_rep5"	3	0	NA
"361"	1	"pep32337923_rep1"	1	0	17190
"362"	1	"pep32337923_rep2"	1	0	49881
"363"	1	"pep32337923_rep3"	1	0	23504
"364"	1	"pep32337923_rep4"	1	0	23415
"365"	1	"pep32337923_rep5"	1	0	5031668
"366"	1	"pep32337923_rep1"	2	0	7415766
"367"	1	"pep32337923_rep2"	2	0	6724643
"368"	1	"pep32337923_rep3"	2	0	NA
"369"	1	"pep32337923_rep4"	2	0	5895261
"370"	1	"pep32337923_rep5"	2	0	NA
"371"	1	"pep32337923_rep1"	3	0	NA
"372"	1	"pep32337923_rep2"	3	0	NA
"373"	1	"pep32337923_rep3"	3	0	NA
"374"	1	"pep32337923_rep4"	3	0	NA
"375"	1	"pep32337923_rep5"	3	0	NA
"376"	2	"pep32337923_rep1"	1	0	39637
"377"	2	"pep32337923_rep2"	1	0	56439
"378"	2	"pep32337923_rep3"	1	0	85765
"379"	2	"pep32337923_rep4"	1	0	498205
"380"	2	"pep32337923_rep5"	1	0	39813
"381"	2	"pep32337923_rep1"	2	0	42717
"382"	2	"pep32337923_rep2"	2	0	149586
"383"	2	"pep32337923_rep3"	2	0	NA
"384"	2	"pep32337923_rep4"	2	0	69810
"385"	2	"pep32337923_rep5"	2	0	NA
"386"	2	"pep32337923_rep1"	3	0	NA
"387"	2	"pep32337923_rep2"	3	0	NA
"388"	2	"pep32337923_rep3"	3	0	NA
"389"	2	"pep32337923_rep4"	3	0	NA
"390"	2	"pep32337923_rep5"	3	0	NA
"391"	3	"pep32337923_rep1"	1	0	22262
"392"	3	"pep32337923_rep2"	1	0	12547
"393"	3	"pep32337923_rep3"	1	0	27223
"394"	3	"pep32337923_rep4"	1	0	NA
"395"	3	"pep32337923_rep5"	1	0	58736
"396"	3	"pep32337923_rep1"	2	0	100357
"397"	3	"pep32337923_rep2"	2	0	31977465
"398"	3	"pep32337923_rep3"	2	0	NA
"399"	3	"pep32337923_rep4"	2	0	34675027
"400"	3	"pep32337923_rep5"	2	0	NA
"401"	3	"pep32337923_rep1"	3	0	NA
"402"	3	"pep32337923_rep2"	3	0	NA
"403"	3	"pep32337923_rep3"	3	0	NA
"404"	3	"pep32337923_rep4"	3	0	NA
"405"	3	"pep32337923_rep5"	3	0	NA
"406"	4	"pep32337923_rep1"	1	0	NA
"407"	4	"pep32337923_rep2"	1	0	30427
"408"	4	"pep32337923_rep3"	1	0	NA
"409"	4	"pep32337923_rep4"	1	0	121291
"410"	4	"pep32337923_rep5"	1	0	24692462
"411"	4	"pep32337923_rep1"	2	0	36343421
"412"	4	"pep32337923_rep2"	2	0	NA
"413"	4	"pep32337923_rep3"	2	0	NA
"414"	4	"pep32337923_rep4"	2	0	40757
"415"	4	"pep32337923_rep5"	2	0	NA
"416"	4	"pep32337923_rep1"	3	0	NA
"417"	4	"pep32337923_rep2"	3	0	NA
"418"	4	"pep32337923_rep3"	3	0	NA
"419"	4	"pep32337923_rep4"	3	0	NA
"420"	4	"pep32337923_rep5"	3	0	NA
"421"	5	"pep32337923_rep1"	1	0	NA
"422"	5	"pep32337923_rep2"	1	0	NA
"423"	5	"pep32337923_rep3"	1	0	NA
"424"	5	"pep32337923_rep4"	1	0	NA
"425"	5	"pep32337923_rep5"	1	0	NA
"426"	5	"pep32337923_rep1"	2	0	NA
"427"	5	"pep32337923_rep2"	2	0	NA
"428"	5	"pep32337923_rep3"	2	0	NA
"429"	5	"pep32337923_rep4"	2	0	NA
"430"	5	"pep32337923_rep5"	2	0	NA
"431"	5	"pep32337923_rep1"	3	0	NA
"432"	5	"pep32337923_rep2"	3	0	NA
"433"	5	"pep32337923_rep3"	3	0	NA
"434"	5	"pep32337923_rep4"	3	0	NA
"435"	5	"pep32337923_rep5"	3	0	NA
"436"	6	"pep32337923_rep1"	1	0	NA
"437"	6	"pep32337923_rep2"	1	0	NA
"438"	6	"pep32337923_rep3"	1	0	NA
"439"	6	"pep32337923_rep4"	1	0	NA
"440"	6	"pep32337923_rep5"	1	0	NA
"441"	6	"pep32337923_rep1"	2	0	NA
"442"	6	"pep32337923_rep2"	2	0	NA
"443"	6	"pep32337923_rep3"	2	0	NA
"444"	6	"pep32337923_rep4"	2	0	NA
"445"	6	"pep32337923_rep5"	2	0	NA
"446"	6	"pep32337923_rep1"	3	0	NA
"447"	6	"pep32337923_rep2"	3	0	NA
"448"	6	"pep32337923_rep3"	3	0	NA
"449"	6	"pep32337923_rep4"	3	0	NA
"450"	6	"pep32337923_rep5"	3	0	NA
"451"	7	"pep32337923_rep1"	1	0	NA
"452"	7	"pep32337923_rep2"	1	0	NA
"453"	7	"pep32337923_rep3"	1	0	NA
"454"	7	"pep32337923_rep4"	1	0	NA
"455"	7	"pep32337923_rep5"	1	0	NA
"456"	7	"pep32337923_rep1"	2	0	NA
"457"	7	"pep32337923_rep2"	2	0	NA
"458"	7	"pep32337923_rep3"	2	0	NA
"459"	7	"pep32337923_rep4"	2	0	NA
"460"	7	"pep32337923_rep5"	2	0	NA
"461"	7	"pep32337923_rep1"	3	0	NA
"462"	7	"pep32337923_rep2"	3	0	NA
"463"	7	"pep32337923_rep3"	3	0	NA
"464"	7	"pep32337923_rep4"	3	0	NA
"465"	7	"pep32337923_rep5"	3	0	NA
"466"	8	"pep32337923_rep1"	1	0	NA
"467"	8	"pep32337923_rep2"	1	0	NA
"468"	8	"pep32337923_rep3"	1	0	NA
"469"	8	"pep32337923_rep4"	1	0	NA
"470"	8	"pep32337923_rep5"	1	0	NA
"471"	8	"pep32337923_rep1"	2	0	NA
"472"	8	"pep32337923_rep2"	2	0	NA
"473"	8	"pep32337923_rep3"	2	0	NA
"474"	8	"pep32337923_rep4"	2	0	NA
"475"	8	"pep32337923_rep5"	2	0	NA
"476"	8	"pep32337923_rep1"	3	0	NA
"477"	8	"pep32337923_rep2"	3	0	NA
"478"	8	"pep32337923_rep3"	3	0	NA
"479"	8	"pep32337923_rep4"	3	0	NA
"480"	8	"pep32337923_rep5"	3	0	NA
"481"	9	"pep32337923_rep1"	1	0	NA
"482"	9	"pep32337923_rep2"	1	0	NA
"483"	9	"pep32337923_rep3"	1	0	NA
"484"	9	"pep32337923_rep4"	1	0	NA
"485"	9	"pep32337923_rep5"	1	0	NA
"486"	9	"pep32337923_rep1"	2	0	NA
"487"	9	"pep32337923_rep2"	2	0	NA
"488"	9	"pep32337923_rep3"	2	0	NA
"489"	9	"pep32337923_rep4"	2	0	NA
"490"	9	"pep32337923_rep5"	2	0	NA
"491"	9	"pep32337923_rep1"	3	0	NA
"492"	9	"pep32337923_rep2"	3	0	NA
"493"	9	"pep32337923_rep3"	3	0	NA
"494"	9	"pep32337923_rep4"	3	0	NA
"495"	9	"pep32337923_rep5"	3	0	NA
"496"	10	"pep32337923_rep1"	1	0	NA
"497"	10	"pep32337923_rep2"	1	0	NA
"498"	10	"pep32337923_rep3"	1	0	NA
"499"	10	"pep32337923_rep4"	1	0	NA
"500"	10	"pep32337923_rep5"	1	0	NA
"501"	10	"pep32337923_rep1"	2	0	NA
"502"	10	"pep32337923_rep2"	2	0	NA
"503"	10	"pep32337923_rep3"	2	0	NA
"504"	10	"pep32337923_rep4"	2	0	NA
"505"	10	"pep32337923_rep5"	2	0	NA
"506"	10	"pep32337923_rep1"	3	0	NA
"507"	10	"pep32337923_rep2"	3	0	NA
"508"	10	"pep32337923_rep3"	3	0	NA
"509"	10	"pep32337923_rep4"	3	0	NA
"510"	10	"pep32337923_rep5"	3	0	NA
"511"	11	"pep32337923_rep1"	1	0	NA
"512"	11	"pep32337923_rep2"	1	0	NA
"513"	11	"pep32337923_rep3"	1	0	NA
"514"	11	"pep32337923_rep4"	1	0	NA
"515"	11	"pep32337923_rep5"	1	0	NA
"516"	11	"pep32337923_rep1"	2	0	NA
"517"	11	"pep32337923_rep2"	2	0	NA
"518"	11	"pep32337923_rep3"	2	0	NA
"519"	11	"pep32337923_rep4"	2	0	NA
"520"	11	"pep32337923_rep5"	2	0	NA
"521"	11	"pep32337923_rep1"	3	0	NA
"522"	11	"pep32337923_rep2"	3	0	NA
"523"	11	"pep32337923_rep3"	3	0	NA
"524"	11	"pep32337923_rep4"	3	0	NA
"525"	11	"pep32337923_rep5"	3	0	NA
"526"	12	"pep32337923_rep1"	1	0	NA
"527"	12	"pep32337923_rep2"	1	0	NA
"528"	12	"pep32337923_rep3"	1	0	NA
"529"	12	"pep32337923_rep4"	1	0	NA
"530"	12	"pep32337923_rep5"	1	0	NA
"531"	12	"pep32337923_rep1"	2	0	NA
"532"	12	"pep32337923_rep2"	2	0	NA
"533"	12	"pep32337923_rep3"	2	0	NA
"534"	12	"pep32337923_rep4"	2	0	NA
"535"	12	"pep32337923_rep5"	2	0	NA
"536"	12	"pep32337923_rep1"	3	0	NA
"537"	12	"pep32337923_rep2"	3	0	NA
"538"	12	"pep32337923_rep3"	3	0	NA
"539"	12	"pep32337923_rep4"	3	0	NA
"540"	12	"pep32337923_rep5"	3	0	NA
"541"	1	"pep32337858_rep1"	1	0	106260
"542"	1	"pep32337858_rep2"	1	0	NA
"543"	1	"pep32337858_rep3"	1	0	244292
"544"	1	"pep32337858_rep4"	1	0	190498
"545"	1	"pep32337858_rep5"	1	0	3813772
"546"	1	"pep32337858_rep1"	2	0	2690836
